====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   r 
 in 1e-09 sec | l   2   4   8   1   3   6   1   2   5   1   2   4   8   1   3   6   1   e 
              | k               6   2   4   2   5   1   0   0   0   1   6   2   5   3   s 
       5700.0 | 1   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5701.1 | 1   1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5800.0 | 0   1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5900.0 | 1   1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5901.4 | 1   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5902.7 | 1   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5904.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5905.0 | 1   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6000.0 | 0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6100.0 | 1   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6101.1 | 1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6200.0 | 0   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6300.0 | 1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6301.4 | 1   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6302.4 | 1   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6400.0 | 0   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6500.0 | 1   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6501.1 | 1   1   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6600.0 | 0   1   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6700.0 | 1   1   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6701.4 | 1   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6702.7 | 1   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6703.7 | 1   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6800.0 | 0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6900.0 | 1   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       6901.1 | 1   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7000.0 | 0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7100.0 | 1   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7101.4 | 1   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7102.4 | 1   0   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7200.0 | 0   0   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7300.0 | 1   0   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7301.1 | 1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7400.0 | 0   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7500.0 | 1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7501.4 | 1   0   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7502.7 | 1   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7504.0 | 1   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7505.3 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       7506.6 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       7507.6 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       7600.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       7700.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       7701.1 | 1   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       7800.0 | 0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       7900.0 | 1   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       7901.4 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       7902.4 | 1   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8000.0 | 0   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8100.0 | 1   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8101.1 | 1   1   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8200.0 | 0   1   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8300.0 | 1   1   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8301.4 | 1   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8302.7 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8303.7 | 1   0   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8400.0 | 0   0   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8500.0 | 1   0   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8501.1 | 1   1   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8600.0 | 0   1   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8700.0 | 1   1   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8701.4 | 1   0   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8702.4 | 1   0   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8800.0 | 0   0   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8900.0 | 1   0   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       8901.1 | 1   1   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9000.0 | 0   1   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9100.0 | 1   1   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9101.4 | 1   0   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9102.7 | 1   0   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9104.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
